rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,steering_wheel_angle,steering_wheel_angle_cmd,steering_wheel_torque,speed,enabled,override,driver,fault_wdc,fault_bus1,fault_bus2,fault_calibration,fault_connector
1479513000015859974,,18056,,1479513000,15554312,'',0.057595863938331604,0.0,-0.375,9.20555591583252,False,False,False,False,False,False,False,True
1479513000035671408,,18057,,1479513000,35602530,'',0.05585053563117981,0.0,-0.4375,9.20555591583252,False,False,False,False,False,False,False,True
1479513000055745614,,18058,,1479513000,55670943,'',0.05061454698443413,0.0,-0.5,9.208333015441895,False,False,False,False,False,False,False,True
1479513000075850842,,18059,,1479513000,75722988,'',0.04712389037013054,0.0,-0.5,9.208333015441895,False,False,False,False,False,False,False,True
1479513000095779217,,18060,,1479513000,95709651,'',0.04363323003053665,0.0,-0.5625,9.20555591583252,False,False,False,False,False,False,False,True
1479513000115848443,,18061,,1479513000,115732036,'',0.03839724510908127,0.0,-0.5625,9.20555591583252,False,False,False,False,False,False,False,True
1479513000135908469,,18062,,1479513000,135842750,'',0.03316125646233559,0.0,-0.5625,9.202777862548828,False,False,False,False,False,False,False,True
1479513000155972057,,18063,,1479513000,155888251,'',0.03141592815518379,0.0,-0.5625,9.202777862548828,False,False,False,False,False,False,False,True
1479513000175995737,,18064,,1479513000,175892918,'',0.027925267815589905,0.0,-0.625,9.202777862548828,False,False,False,False,False,False,False,True
1479513000196053286,,18065,,1479513000,195970506,'',0.02617993950843811,0.0,-0.5,9.202777862548828,False,False,False,False,False,False,False,True
1479513000216064792,,18066,,1479513000,215946280,'',0.024434609338641167,0.0,-0.375,9.199999809265137,False,False,False,False,False,False,False,True
1479513000236228472,,18067,,1479513000,236125352,'',0.022689281031489372,0.0,-0.375,9.197221755981445,False,False,False,False,False,False,False,True
1479513000256157150,,18068,,1479513000,256063711,'',0.022689281031489372,0.0,-0.25,9.191666603088379,False,False,False,False,False,False,False,True
1479513000276256405,,18069,,1479513000,276145913,'',0.022689281031489372,0.0,-0.25,9.188888549804688,False,False,False,False,False,False,False,True
1479513000296215253,,18070,,1479513000,296124634,'',0.022689281031489372,0.0,-0.25,9.188888549804688,False,False,False,False,False,False,False,True
1479513000316169872,,18071,,1479513000,316079762,'',0.022689281031489372,0.0,-0.1875,9.186111450195312,False,False,False,False,False,False,False,True
1479513000336249134,,18072,,1479513000,336153864,'',0.02094395086169243,0.0,-0.1875,9.186111450195312,False,False,False,False,False,False,False,True
1479513000356275240,,18073,,1479513000,356185039,'',0.02094395086169243,0.0,-0.125,9.183333396911621,False,False,False,False,False,False,False,True
1479513000376485042,,18074,,1479513000,376354754,'',0.02094395086169243,0.0,-0.1875,9.175000190734863,False,False,False,False,False,False,False,True
1479513000396489124,,18075,,1479513000,396382937,'',0.02094395086169243,0.0,-0.125,9.16944408416748,False,False,False,False,False,False,False,True
1479513000416331709,,18076,,1479513000,416228387,'',0.02094395086169243,0.0,0.0,9.166666984558105,False,False,False,False,False,False,False,True
1479513000436485218,,18077,,1479513000,436409926,'',0.02094395086169243,0.0,0.125,9.166666984558105,False,False,False,False,False,False,False,True
1479513000456407302,,18078,,1479513000,456313776,'',0.02094395086169243,0.0,0.125,9.163888931274414,False,False,False,False,False,False,False,True
1479513000476506505,,18079,,1479513000,476411502,'',0.02094395086169243,0.0,0.0,9.163888931274414,False,False,False,False,False,False,False,True
1479513000496473087,,18080,,1479513000,496378657,'',0.02094395086169243,0.0,0.0,9.163888931274414,False,False,False,False,False,False,False,True
1479513000516700421,,18081,,1479513000,516566224,'',0.02094395086169243,0.0,0.0,9.161110877990723,False,False,False,False,False,False,False,True
1479513000536800893,,18082,,1479513000,536706993,'',0.019198622554540634,0.0,-0.0625,9.161110877990723,False,False,False,False,False,False,False,True
1479513000556762174,,18083,,1479513000,556669247,'',0.019198622554540634,0.0,-0.0625,9.158333778381348,False,False,False,False,False,False,False,True
1479513000576979866,,18084,,1479513000,576895330,'',0.019198622554540634,0.0,0.0,9.155555725097656,False,False,False,False,False,False,False,True
1479513000596806679,,18085,,1479513000,596710161,'',0.019198622554540634,0.0,0.0,9.155555725097656,False,False,False,False,False,False,False,True
1479513000616659496,,18086,,1479513000,616566431,'',0.019198622554540634,0.0,0.0625,9.152777671813965,False,False,False,False,False,False,False,True
1479513000636770067,,18087,,1479513000,636679063,'',0.019198622554540634,0.0,0.0625,9.149999618530273,False,False,False,False,False,False,False,True
1479513000657014582,,18088,,1479513000,656929077,'',0.019198622554540634,0.0,0.0625,9.147222518920898,False,False,False,False,False,False,False,True
1479513000677456283,,18089,,1479513000,677362571,'',0.019198622554540634,0.0,-0.125,9.144444465637207,False,False,False,False,False,False,False,True
1479513000696836451,,18090,,1479513000,696724455,'',0.019198622554540634,0.0,-0.125,9.141666412353516,False,False,False,False,False,False,False,True
1479513000716855536,,18091,,1479513000,716725550,'',0.019198622554540634,0.0,-0.0625,9.141666412353516,False,False,False,False,False,False,False,True
1479513000737130670,,18092,,1479513000,736956884,'',0.01745329238474369,0.0,-0.0625,9.13888931274414,False,False,False,False,False,False,False,True
1479513000757080299,,18093,,1479513000,756975541,'',0.01745329238474369,0.0,-0.0625,9.13611125946045,False,False,False,False,False,False,False,True
1479513000777152729,,18094,,1479513000,777067534,'',0.015707964077591896,0.0,0.0,9.130555152893066,False,False,False,False,False,False,False,True
1479513000796994066,,18095,,1479513000,796856220,'',0.015707964077591896,0.0,0.0625,9.127778053283691,False,False,False,False,False,False,False,True
1479513000817020706,,18096,,1479513000,816914659,'',0.015707964077591896,0.0,0.0625,9.125,False,False,False,False,False,False,False,True
1479513000837156822,,18097,,1479513000,837062472,'',0.013962633907794952,0.0,0.125,9.119444847106934,False,False,False,False,False,False,False,True
1479513000857228725,,18098,,1479513000,857138672,'',0.013962633907794952,0.0,0.125,9.116666793823242,False,False,False,False,False,False,False,True
1479513000877556677,,18099,,1479513000,877460932,'',0.013962633907794952,0.0,0.0625,9.11388874053955,False,False,False,False,False,False,False,True
1479513000897252144,,18100,,1479513000,897140764,'',0.013962633907794952,0.0,0.0625,9.108333587646484,False,False,False,False,False,False,False,True
1479513000917204646,,18101,,1479513000,917104643,'',0.012217304669320583,0.0,0.0,9.105555534362793,False,False,False,False,False,False,False,True
1479513000937365590,,18102,,1479513000,937266469,'',0.012217304669320583,0.0,0.0,9.105555534362793,False,False,False,False,False,False,False,True
1479513000957226804,,18103,,1479513000,957141520,'',0.012217304669320583,0.0,-0.0625,9.105555534362793,False,False,False,False,False,False,False,True
1479513000977756667,,18104,,1479513000,977676070,'',0.012217304669320583,0.0,0.0,9.105555534362793,False,False,False,False,False,False,False,True
1479513000997325352,,18105,,1479513000,997227038,'',0.012217304669320583,0.0,0.0,9.105555534362793,False,False,False,False,False,False,False,True
